source_kind	source_path	source_sha256	source_class	decision	assigned_art_id	reason
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 1\01__body_armor.png	3384eda43a7fa43a79ba8f5dc73d873e0cd9a3dbef28be7a65551cec42cba92a	body_armor	assign_to_row	body_corselet_copper_disc	Useful cloth-dominant sparse reinforcement candidate.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 1\02__headgear.png	cd47cf9cc5b772e8f1078c8c812abb44ee2dd5f701f35b04913576cfd75f2504	headgear	assign_to_row	helmet_light_copper_point	Distinct ancient pointed sheet-metal silhouette.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 1\06__outer_layer.png	070e8181673662f79ec464de5524a3d563994b3c3efdc52a3c110ef1539adbdd	outer_layer	assign_to_row	outer_full_linen	Continuous broad mantle field; review for exact edge treatment.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 2\01__body_armor.png	2b19d3c8f0bd71cbc483f58893b81bd6314896c41e82ccf6737039395ad1e9df	body_armor	assign_to_row	body_cuirass_copper_pectoral	Useful copper pectoral economy candidate.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 2\02__outer_layer.png	53f798dc59964c5fc07484598ab40935df75c79bd3be65d96dc8c03eab36e20a	outer_layer	reject_base_reuse	none	Shingled or tabbed silhouette violates continuous outer-layer requirement.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - DEX - tier 3\01__body_armor.png	8f38e09e1ca015a0189a7ef6d5e92e35a243b9b38556a2291765d2b85e26d3a5	body_armor	alias_existing	body_lamellar_bronze	Redundant short mature-metal lamellar read.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 1\01__body_armor.png	3686d613f5efaf314c3a147c8a5915d26db87868b09d45b15b9f370ca569f92e	body_armor	alias_existing	body_corselet_copper_disc	Redundant textile corselet supply.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 1\02__headgear.png	7a974fc36f19d0f146492d052c84ebf8fced27fec218a115e41101c2c00a24cc	headgear	reject_base_reuse	none	Tusk or horn cap does not fit retained helm ladder silhouettes.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 2\01__body_armor.png	046d13825f34c5caae8db7ed7fda0d36f898d567e53665fc8bf15453b8919371	body_armor	alias_existing	body_lamellar_copper	Redundant early-metal lamellar body.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 2\02__outer_layer.png	3a7aca8aa7d67e11f0249c1f3f3308d04e8d90cc5c8b11780e1dec5c7f52d6af	outer_layer	reject_base_reuse	none	Repeated hanging panels read as armor shingles.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - INT - tier 3\01__body_armor.png	1a9eeb75e1cd6c615c8ab74039428aa55a6af638ab16801085f07fdb924a1899	body_armor	alias_existing	body_lamellar_bronze	Redundant bronze lamellar economy source.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 1\01__body_armor.png	8b3e774402506af942b3feda618d3c940a0449c7576191b4e00534b2e38c8707	body_armor	alias_existing	body_cuirass_rawhide	Redundant low-tier hide torso candidate.
balanced_output	C:\Users\Alex\Downloads\items_multi_context_balanced_v1\faction_dustwind - STR - tier 1\02__headgear.png	3c807c2e0e2a568f6d69b1b8ebe206663ca918b235d24dc296374c593e9c66b7	headgear	alias_existing	helmet_light_quilted	Redundant organic soft-cap silhouette.
